timestamp,datetime,open,high,low,close,volume_from,volume_to
1583884800,2020-03-11 00:00:00,41.57,42.63,41.56,42.06,7731.79,325235.38
1583888400,2020-03-11 01:00:00,42.06,42.38,41.46,41.68,13142.8,547770.2
1583892000,2020-03-11 02:00:00,41.68,42.13,41.18,41.54,8071.84,335308.54
1583895600,2020-03-11 03:00:00,41.54,42.19,41.27,41.58,11490.65,477837.01
1583899200,2020-03-11 04:00:00,41.58,42.06,41.21,41.72,9220.92,384683.62
1583902800,2020-03-11 05:00:00,41.72,41.92,40.95,41.16,12391.18,509984.37
1583906400,2020-03-11 06:00:00,41.16,41.9,40.86,40.9,8838.2,361491.54
1583910000,2020-03-11 07:00:00,40.9,41.68,40.8,40.93,13422.7,549387.1
1583913600,2020-03-11 08:00:00,40.93,41.62,40.61,40.82,14905.14,608459.91
1583917200,2020-03-11 09:00:00,40.82,41.27,40.28,40.43,15083.66,609844.09
1583920800,2020-03-11 10:00:00,40.43,41.24,40.19,40.56,23026.7,933866.45
1583924400,2020-03-11 11:00:00,40.56,41.13,40.14,40.41,20512.44,829003.25
1583928000,2020-03-11 12:00:00,40.41,40.99,40.12,40.29,15547.16,626376.56
1583931600,2020-03-11 13:00:00,40.29,41.09,40.04,40.3,16342.29,658531.43
1583935200,2020-03-11 14:00:00,40.3,40.58,39.37,39.53,17036.64,673456.48
1583938800,2020-03-11 15:00:00,39.53,40.07,39.12,39.48,26275.12,1037427.02
1583942400,2020-03-11 16:00:00,39.48,40.03,39.22,39.6,19256.1,762637.38
1583946000,2020-03-11 17:00:00,39.6,39.49,38.66,38.84,30959.07,1202416.02
1583949600,2020-03-11 18:00:00,38.84,39.89,38.44,39.48,45614.88,1800749.44
1583953200,2020-03-11 19:00:00,39.48,40.17,39.26,39.49,14280.17,563917.75
1583956800,2020-03-11 20:00:00,39.49,40.5,39.5,40.17,13260.34,532621.85
1583960400,2020-03-11 21:00:00,40.17,40.43,39.15,39.3,10066.34,395642.8
1583964000,2020-03-11 22:00:00,39.3,40.89,39.92,40.38,12493.1,504519.86
1583967600,2020-03-11 23:00:00,40.38,40.65,39.89,40.25,12482.19,502423.05
1583971200,2020-03-12 00:00:00,40.25,40.76,39.84,40.15,10338.05,415087.63
1583974800,2020-03-12 01:00:00,40.15,39.63,38.42,38.5,16899.61,650656.12
1583978400,2020-03-12 02:00:00,38.5,39.06,37.95,38.13,28276.57,1078141.71
1583982000,2020-03-12 03:00:00,38.13,39.33,38.05,38.81,25325.64,982951.31
1583985600,2020-03-12 04:00:00,38.81,38.95,37.55,38.03,27061.12,1029004.58
1583989200,2020-03-12 05:00:00,38.03,38.4,37.24,38.11,22510.71,857834.13
1583992800,2020-03-12 06:00:00,38.11,37.48,36.53,36.82,39942.84,1470776.07
1583996400,2020-03-12 07:00:00,36.82,36.59,35.44,36.53,42615.99,1556717.06
1584000000,2020-03-12 08:00:00,36.53,36.47,34.99,36.14,35456.5,1281241.3
1584003600,2020-03-12 09:00:00,36.14,36.06,34.97,35.23,25584.87,901237.96
1584007200,2020-03-12 10:00:00,35.23,30.7,27.78,27.92,111538.18,3113704.36
1584010800,2020-03-12 11:00:00,27.92,27.27,25.08,25.12,171917.18,4318587.94
1584014400,2020-03-12 12:00:00,25.12,27.1,24.69,26.76,133966.81,3584573.67
1584018000,2020-03-12 13:00:00,26.76,27.15,26.11,26.82,73531.48,1972452.29
1584021600,2020-03-12 14:00:00,26.82,29.15,27.38,28.67,59129.65,1695264.7
1584025200,2020-03-12 15:00:00,28.67,30.26,28.38,29.31,45583.8,1336164.97
1584028800,2020-03-12 16:00:00,29.31,30.99,28.93,29.9,92699.4,2772161.38
1584032400,2020-03-12 17:00:00,29.9,30.61,29.45,30.11,45324.2,1364842.56
1584036000,2020-03-12 18:00:00,30.11,30.71,29.29,30.02,34631.53,1039755.38
1584039600,2020-03-12 19:00:00,30.02,30.96,29.57,30.26,33403.71,1010632.23
1584043200,2020-03-12 20:00:00,30.26,29.39,27.99,28.74,32395.62,931119.05
1584046800,2020-03-12 21:00:00,28.74,29.41,28.36,28.51,27649.08,788329.08
1584050400,2020-03-12 22:00:00,28.51,29,28.18,28.31,27725.81,784838.93
1584054000,2020-03-12 23:00:00,28.31,26.97,23.7,26.28,91646.07,2408476.05
1584057600,2020-03-13 00:00:00,26.28,25.61,23.6,24.34,122008.19,2969803.01
1584061200,2020-03-13 01:00:00,24.34,22.73,21.45,21.45,94015.28,2016970.98
1584064800,2020-03-13 02:00:00,21.45,25.83,23.11,23.74,204385.09,4852984.96
1584068400,2020-03-13 03:00:00,23.74,26.8,24.34,26.46,130018.12,3440892.78
1584072000,2020-03-13 04:00:00,26.46,25.08,23.04,23.16,132647.38,3071751.94
1584075600,2020-03-13 05:00:00,23.16,24.49,23.53,23.81,58610.68,1395291.43
1584079200,2020-03-13 06:00:00,23.81,25.85,24.85,25.74,117077.59,3014158.11
1584082800,2020-03-13 07:00:00,25.74,27.28,26.35,27.18,43168.75,1173138.65
1584086400,2020-03-13 08:00:00,27.18,26.96,26.08,26.38,50879.3,1342241.33
1584090000,2020-03-13 09:00:00,26.38,28.8,27.81,28.07,36144.27,1014510.15
1584093600,2020-03-13 10:00:00,28.07,28.04,27.07,27.19,34418.44,935806
1584097200,2020-03-13 11:00:00,27.19,27.32,26.09,26.55,46463.18,1233771.33
1584100800,2020-03-13 12:00:00,26.55,27.92,26.83,27.65,36141.79,999480.1
1584104400,2020-03-13 13:00:00,27.65,28.54,27.55,28.11,61801.51,1737024.47
