timestamp,datetime,open,high,low,close,volume_from,volume_to
1582156800,2020-02-20 00:00:00,62.77,64.43,61.84,62.59,39252.46,2456773
1582160400,2020-02-20 01:00:00,62.59,63.47,61.79,62.5,19498.22,1218710.47
1582164000,2020-02-20 02:00:00,62.5,63.03,61.08,62.82,35987.07,2260832.82
1582167600,2020-02-20 03:00:00,62.82,63.68,62.08,62.21,18105.19,1126355.05
1582171200,2020-02-20 04:00:00,62.21,63.41,61.26,61.98,19306.33,1196602.86
1582174800,2020-02-20 05:00:00,61.98,62.61,60.32,61.71,25998.81,1604457.75
1582178400,2020-02-20 06:00:00,61.71,63.34,61.49,62.26,23901.27,1488176.74
1582182000,2020-02-20 07:00:00,62.26,63.05,61.72,62.54,15575.89,974042.8
1582185600,2020-02-20 08:00:00,62.54,63,60.71,61.6,19467.35,1199210.78
1582189200,2020-02-20 09:00:00,61.6,62.75,60.85,61.29,18608.1,1140411.73
1582192800,2020-02-20 10:00:00,61.29,62.5,60.93,61.31,19657.91,1205315.78
1582196400,2020-02-20 11:00:00,61.31,61.87,59.62,60.25,35862.84,2160722.57
1582200000,2020-02-20 12:00:00,60.25,61.54,59.45,60.27,24099.78,1452391.47
1582203600,2020-02-20 13:00:00,60.27,62.12,59.73,61.57,32134.7,1978527.79
1582207200,2020-02-20 14:00:00,61.57,62.68,60.63,61.42,30006.66,1843036.54
1582210800,2020-02-20 15:00:00,61.42,61.96,60.2,60.69,18750.67,1138055.83
1582214400,2020-02-20 16:00:00,60.69,62.13,59.36,61.43,48328.29,2968683.08
1582218000,2020-02-20 17:00:00,61.43,61.34,59.52,59.86,32612.37,1952232.9
1582221600,2020-02-20 18:00:00,59.86,61.05,59.05,59.24,22618.89,1339899.32
1582225200,2020-02-20 19:00:00,59.24,61.14,59.12,59.57,16788.82,1000088.5
1582228800,2020-02-20 20:00:00,59.57,61.25,59.58,60.34,12254.94,739484.47
1582232400,2020-02-20 21:00:00,60.34,61.56,59.99,60.95,11565.26,704899.32
1582236000,2020-02-20 22:00:00,60.95,61.81,60.53,60.54,12760.29,772445.06
1582239600,2020-02-20 23:00:00,60.54,61.68,60.22,60.97,23002.39,1402405.94
1582243200,2020-02-21 00:00:00,60.97,61.48,59.86,60.73,18546.33,1126377.55
