timestamp,datetime,open,high,low,close,volume_from,volume_to
1667692800,2022-11-06 00:00:00,53.64,53.81,53.06,53.42,2410.99,128800.77
1667696400,2022-11-06 01:00:00,53.42,53.21,52.73,52.87,1507.86,79727.71
1667700000,2022-11-06 02:00:00,52.87,53.42,52.97,53.12,2346.14,124632.57
1667703600,2022-11-06 03:00:00,53.07,53.55,53.07,53.5,640.06,34120.36
1667707200,2022-11-06 04:00:00,53.49,53.67,53.41,53.56,1087.94,58273.92
1667710800,2022-11-06 05:00:00,53.62,53.62,53.01,53.1,390.94,20844.43
1667714400,2022-11-06 06:00:00,53.06,53.21,52.91,52.93,908.72,48100.91
1667718000,2022-11-06 07:00:00,52.93,53.22,52.97,53.18,1445.2,76852.45
1667721600,2022-11-06 08:00:00,53.18,53.47,53.23,53.36,783.72,41820.78
1667725200,2022-11-06 09:00:00,53.36,53.44,53.29,53.33,963.75,51398.7
1667728800,2022-11-06 10:00:00,53.33,53.65,53.38,53.57,1211.98,64924.77
1667732400,2022-11-06 11:00:00,53.57,53.67,53.33,53.45,1323.38,70738.01
1667736000,2022-11-06 12:00:00,53.45,53.71,53.24,53.43,5877.85,314067.7
1667739600,2022-11-06 13:00:00,53.43,53.7,53.32,53.47,2609.22,139508.72
1667743200,2022-11-06 14:00:00,53.47,53.74,53.3,53.55,3278.84,175588.4
1667746800,2022-11-06 15:00:00,53.58,53.71,53.07,53.07,3171.94,169407.72
1667750400,2022-11-06 16:00:00,53.07,53.07,52.32,52.68,2504.93,131988.66
1667754000,2022-11-06 17:00:00,52.68,52.7,52.3,52.54,1274.19,66784.77
1667757600,2022-11-06 18:00:00,52.57,52.61,52.23,52.4,4210.03,220598.95
1667761200,2022-11-06 19:00:00,52.37,52.42,51.89,52.13,1317.04,68667.84
1667764800,2022-11-06 20:00:00,52.13,52.15,51.88,51.96,633.76,32964.28
1667768400,2022-11-06 21:00:00,51.96,52.34,51.92,52.06,894.55,46614.19
1667772000,2022-11-06 22:00:00,52.09,52.17,51.62,51.67,2457.12,126952.18
1667775600,2022-11-06 23:00:00,51.67,51.11,50.06,50.33,5282.77,265891.27
1667779200,2022-11-07 00:00:00,50.33,50.85,50.18,50.62,4504.62,228023.18
1667782800,2022-11-07 01:00:00,50.71,51.36,50.42,51.13,1137.56,57904.42
1667786400,2022-11-07 02:00:00,51.13,51.43,51.04,51.41,441.86,22648.35
1667790000,2022-11-07 03:00:00,51.37,51.38,51.15,51.17,1762.21,90175.65
1667793600,2022-11-07 04:00:00,51.17,51.2,51.01,51.12,897.66,45887.18
1667797200,2022-11-07 05:00:00,51.17,51.66,51.17,51.52,1566.11,80640.97
1667800800,2022-11-07 06:00:00,51.43,51.47,51.2,51.26,1196.8,61346.2
1667804400,2022-11-07 07:00:00,51.26,51.26,49.93,49.94,1586.52,79745.18
1667808000,2022-11-07 08:00:00,49.93,50.96,50.09,50.9,2461.22,125272.16
1667811600,2022-11-07 09:00:00,50.9,51.02,50.61,50.65,1154.23,58463.95
1667815200,2022-11-07 10:00:00,50.7,51.2,50.7,50.99,2021.39,102837.74
1667818800,2022-11-07 11:00:00,50.98,51.16,50.87,51,7027.65,358376.48
1667822400,2022-11-07 12:00:00,50.95,51.19,50.73,51.13,2115.03,107441.97
1667826000,2022-11-07 13:00:00,51.14,51.17,50.78,50.82,5480.77,278529.67
1667829600,2022-11-07 14:00:00,50.82,50.67,50.34,50.46,5363.39,270655.32
1667833200,2022-11-07 15:00:00,50.46,51.25,50.76,51.23,2597.22,133062.8
1667836800,2022-11-07 16:00:00,51.24,51.38,50.78,50.78,953.88,48755.84
1667840400,2022-11-07 17:00:00,50.75,51.09,50.82,51.09,1181.76,60373.22
1667844000,2022-11-07 18:00:00,51.09,51.38,51.09,51.19,1186.68,60748.06
1667847600,2022-11-07 19:00:00,51.33,51.76,51.23,51.62,1704.38,87780.03
1667851200,2022-11-07 20:00:00,51.62,52.78,51.59,51.67,1999.12,103712.59
1667854800,2022-11-07 21:00:00,51.67,53.47,51.49,52.53,12601.14,656342.04
1667858400,2022-11-07 22:00:00,52.53,52.53,50.23,50.88,4116.01,210710.79
1667862000,2022-11-07 23:00:00,50.88,51.26,50.68,51.16,4310.38,219895.34
1667865600,2022-11-08 00:00:00,51.16,51.48,51.06,51.17,903.64,46274.66
1667869200,2022-11-08 01:00:00,51.19,51.78,51.37,51.66,860.08,44431.26
1667872800,2022-11-08 02:00:00,51.66,51.22,50.17,50.17,1563.38,78441.42
1667876400,2022-11-08 03:00:00,50.22,50.47,48.97,49.27,10962.84,550889.07
1667880000,2022-11-08 04:00:00,49.27,49.69,47.1,47.92,7483.29,362285.69
1667883600,2022-11-08 05:00:00,47.92,48.2,46.31,47.29,2977.99,140682.32
1667887200,2022-11-08 06:00:00,47.29,48.27,46.94,48,1886.57,89569.04
1667890800,2022-11-08 07:00:00,47.97,48.3,47.86,48.18,3045.38,146730.09
1667894400,2022-11-08 08:00:00,48.18,48.16,47.96,48.06,1596.62,76729.02
1667898000,2022-11-08 09:00:00,48.06,48.29,48.08,48.08,1703.59,81902.85
1667901600,2022-11-08 10:00:00,48.08,47.97,47.72,47.82,1323.73,63295.46
1667905200,2022-11-08 11:00:00,47.75,48.1,47.52,47.64,15860.62,752137.57
1667908800,2022-11-08 12:00:00,47.64,47.94,47.41,47.59,3374.68,160216.58
1667912400,2022-11-08 13:00:00,47.59,47.82,47.32,47.32,2157.79,102770.06
1667916000,2022-11-08 14:00:00,47.32,47.6,46.5,47.13,2181.35,102073.14
1667919600,2022-11-08 15:00:00,47.13,47.45,46.66,47.45,1043.37,49272.83
