timestamp,datetime,open,high,low,close,volume_from,volume_to
1651708800,2022-05-05 00:00:00,134.5,138.53,134.47,138.15,12797.94,1758436.46
1651712400,2022-05-05 01:00:00,138.15,139.65,137.81,139.55,4225.62,587940.93
1651716000,2022-05-05 02:00:00,139.55,139.84,139,139.39,2258.72,315020.09
1651719600,2022-05-05 03:00:00,139.39,139.42,137.62,137.68,1231.56,170497.89
1651723200,2022-05-05 04:00:00,137.67,139.28,137.69,138.21,3429,473915.23
1651726800,2022-05-05 05:00:00,138.25,139.15,136.42,136.55,1272.14,175173.72
1651730400,2022-05-05 06:00:00,136.55,137.56,136.07,136.07,1073.2,146898.57
1651734000,2022-05-05 07:00:00,136.07,136.94,135.64,136.5,2698.36,366963.53
1651737600,2022-05-05 08:00:00,136.52,136.23,134.61,134.61,2415.77,325197.89
1651741200,2022-05-05 09:00:00,134.66,135.21,134.28,135.03,741.86,99892.35
1651744800,2022-05-05 10:00:00,135.03,136.33,134.86,136.19,1956.09,264252.39
1651748400,2022-05-05 11:00:00,136.19,137.25,136.05,136.12,1066.68,145818.36
1651752000,2022-05-05 12:00:00,136.12,137.24,135,136.4,1458.14,199080.47
1651755600,2022-05-05 13:00:00,136.4,136.98,132.25,132.66,1717.11,230959.69
1651759200,2022-05-05 14:00:00,132.66,133.86,128.39,129.17,6427.37,835584.89
1651762800,2022-05-05 15:00:00,129.17,129.17,122.04,123.43,11569.7,1440852.99
1651766400,2022-05-05 16:00:00,123.43,124.51,121.31,122.66,3457.02,424137.03
1651770000,2022-05-05 17:00:00,122.66,123.49,119.87,120.14,4750.68,577561.08
1651773600,2022-05-05 18:00:00,120.14,122.28,119.46,121.74,4084.25,493636.32
1651777200,2022-05-05 19:00:00,121.74,123.46,119.3,123.35,4560.33,554299.82
1651780800,2022-05-05 20:00:00,123.35,126.65,122.11,126.65,3567.23,446014.62
1651784400,2022-05-05 21:00:00,126.65,126.65,124.61,124.73,1417.03,177986.53
1651788000,2022-05-05 22:00:00,124.49,124.44,123.1,124.04,1853.4,229900.52
1651791600,2022-05-05 23:00:00,124.07,126.36,123.97,125.74,1035.53,129759.53
1651795200,2022-05-06 00:00:00,125.54,125.42,123.82,125.17,2997.63,375204.83
1651798800,2022-05-06 01:00:00,125.24,126.69,124.8,126.67,3482.48,438217.51
1651802400,2022-05-06 02:00:00,126.67,128.51,126.57,126.75,1596.21,203669.61
1651806000,2022-05-06 03:00:00,126.75,127.38,125.91,126.98,1224.56,154925.01
1651809600,2022-05-06 04:00:00,126.98,128.05,125.83,127.14,1693.24,214979.8
1651813200,2022-05-06 05:00:00,127.19,127.83,126.7,127.29,3412.74,434391.45
1651816800,2022-05-06 06:00:00,127.04,127.53,125.75,126.05,716.63,90403.45
1651820400,2022-05-06 07:00:00,126.05,126.29,121.89,123.2,1975.56,245178
1651824000,2022-05-06 08:00:00,123.2,123.22,121.2,121.88,2341.43,286397.68
1651827600,2022-05-06 09:00:00,121.62,123.9,122.12,123.9,1575.4,195192.46
1651831200,2022-05-06 10:00:00,123.9,122.41,120.76,120.98,1767.41,213816.41
1651834800,2022-05-06 11:00:00,120.82,122.15,119.83,122.11,3064.07,371854
1651838400,2022-05-06 12:00:00,122.13,124.38,122.27,123.77,4379.99,542120.53
1651842000,2022-05-06 13:00:00,123.72,124.86,120.23,122.46,4558.6,557502.93
1651845600,2022-05-06 14:00:00,122.46,124.41,121.66,124.04,2918.02,358795.58
1651849200,2022-05-06 15:00:00,124.04,125.86,123.23,123.69,2218.79,276609.93
1651852800,2022-05-06 16:00:00,123.69,124.89,123.06,124.58,1556.86,193144.7
1651856400,2022-05-06 17:00:00,124.58,124.62,122.26,122.65,1696.97,209328.1
1651860000,2022-05-06 18:00:00,122.65,123.79,122.34,123.15,588.58,72468.29
1651863600,2022-05-06 19:00:00,123.15,124.25,122.36,123.36,1143.2,141197.92
1651867200,2022-05-06 20:00:00,123.36,124.2,122.43,123.89,593.99,73226.1
1651870800,2022-05-06 21:00:00,123.89,124.2,123.25,123.68,199.39,24669.28
1651874400,2022-05-06 22:00:00,123.68,124.13,123.04,123.58,521.26,64443.78
1651878000,2022-05-06 23:00:00,123.58,124.09,122.81,123.67,578.7,71498.72
1651881600,2022-05-07 00:00:00,123.67,124.45,122.82,123.38,1359.52,167993.39
1651885200,2022-05-07 01:00:00,123.38,124.12,121.78,122.51,1213.95,149171.04
1651888800,2022-05-07 02:00:00,122.51,122.6,120.79,121.09,2367.83,287708.7
1651892400,2022-05-07 03:00:00,121.09,121.65,120.02,120.22,1774.91,214224.57
1651896000,2022-05-07 04:00:00,120.22,120.67,118.63,118.78,4615.58,552490.52
1651899600,2022-05-07 05:00:00,118.78,120.07,118.33,119.5,1875.56,223942.4
1651903200,2022-05-07 06:00:00,119.62,119.51,116.36,116.4,8235.44,958583.59
1651906800,2022-05-07 07:00:00,116.4,118.72,116.67,118.61,1856.34,220183.07
1651910400,2022-05-07 08:00:00,118.68,120.31,118.26,119.89,3771.39,450660.82
1651914000,2022-05-07 09:00:00,119.82,119.75,118.35,118.45,1355.47,160562.12
1651917600,2022-05-07 10:00:00,118.45,119.66,118.51,119.55,2722.07,325428.97
1651921200,2022-05-07 11:00:00,119.55,120.03,119.06,119.49,1420.39,169720.57
1651924800,2022-05-07 12:00:00,119.49,119.71,118.63,119.09,1708.51,203472.87
1651928400,2022-05-07 13:00:00,119.17,119.32,117.32,117.61,719.34,84976.46
1651932000,2022-05-07 14:00:00,117.61,118.2,117.06,117.8,787.07,92476.04
1651935600,2022-05-07 15:00:00,117.8,118.75,117.41,118.69,608.49,71950.31
