timestamp,datetime,open,high,low,close,volume_from,volume_to
1730419200,2024-11-01 00:00:00,36.8,37.01,36.75,36.96,679.27,25003.91
1730422800,2024-11-01 01:00:00,36.96,37.01,36.83,36.94,3082.27,113892.92
1730426400,2024-11-01 02:00:00,36.94,37.06,36.8,36.81,2531.79,93434.26
1730430000,2024-11-01 03:00:00,36.81,37.02,36.79,36.83,434.29,15997.56
1730433600,2024-11-01 04:00:00,36.83,36.96,36.83,36.94,181.95,6715.09
1730437200,2024-11-01 05:00:00,36.94,37.08,36.88,37.04,177.45,6560.44
1730440800,2024-11-01 06:00:00,37.04,37.04,36.73,36.75,1823.91,67054.7
1730444400,2024-11-01 07:00:00,36.75,36.75,36.49,36.56,2129.61,78091.9
1730448000,2024-11-01 08:00:00,36.56,36.8,36.53,36.76,626.32,22975.7
1730451600,2024-11-01 09:00:00,36.64,37.09,36.67,36.98,1593.5,58929.55
1730455200,2024-11-01 10:00:00,37.01,37.11,36.87,37.05,952.36,35279.45
1730458800,2024-11-01 11:00:00,37.05,37.27,37,37.27,374.27,13854.3
1730462400,2024-11-01 12:00:00,37.27,37.95,37.2,37.83,826.86,31150.47
1730466000,2024-11-01 13:00:00,37.83,37.89,37.7,37.89,2928.55,110650.9
1730469600,2024-11-01 14:00:00,37.89,38.1,37.83,37.99,1902.22,72296.39
1730473200,2024-11-01 15:00:00,37.99,38.09,37.82,38,6157.42,233737.97
1730476800,2024-11-01 16:00:00,38,38.05,37.87,37.92,1537.39,58373.48
1730480400,2024-11-01 17:00:00,37.92,37.98,37.55,37.93,3760.65,142149.92
1730484000,2024-11-01 18:00:00,37.93,37.98,37.75,37.92,392.89,14859.73
1730487600,2024-11-01 19:00:00,37.92,37.94,37.8,37.94,897.35,33937.82
1730491200,2024-11-01 20:00:00,37.94,38,37.89,37.9,180.25,6829.66
1730494800,2024-11-01 21:00:00,37.9,37.95,37.68,37.77,2813.71,106506.21
1730498400,2024-11-01 22:00:00,37.77,38.09,37.77,37.96,1782.12,67592.83
1730502000,2024-11-01 23:00:00,37.96,38.13,37.92,38.01,1182.68,44861.69
1730505600,2024-11-02 00:00:00,38.01,38.31,37.96,38.02,453.35,17288.53
1730509200,2024-11-02 01:00:00,38.02,38.08,37.92,38.05,974.19,36972.52
1730512800,2024-11-02 02:00:00,38.05,38.79,38.05,38.5,397.45,15334.2
1730516400,2024-11-02 03:00:00,38.5,38.62,38.28,38.28,140.37,5390.86
1730520000,2024-11-02 04:00:00,38.28,38.28,37.96,37.96,152.92,5836.26
1730523600,2024-11-02 05:00:00,37.96,38.16,37.88,38.16,803.32,30465.59
1730527200,2024-11-02 06:00:00,38.16,38.16,37.87,37.87,365.2,13836.92
1730530800,2024-11-02 07:00:00,37.87,37.88,37.56,37.59,652.28,24683.11
1730534400,2024-11-02 08:00:00,37.59,37.59,37.29,37.52,558.92,20887.42
1730538000,2024-11-02 09:00:00,37.52,37.82,37.46,37.76,320.11,12048.77
1730541600,2024-11-02 10:00:00,37.76,37.76,37.54,37.54,187.16,7039.42
1730545200,2024-11-02 11:00:00,37.54,37.61,37.36,37.39,23.87,895.75
1730548800,2024-11-02 12:00:00,37.39,37.39,36.97,36.97,141.3,5253.2
1730552400,2024-11-02 13:00:00,36.97,37.24,36.76,36.84,427.24,15766.01
1730556000,2024-11-02 14:00:00,36.84,37.01,36.7,36.71,614.09,22606.42
